player,xg,goals,attempts
Lucas Bergvall,1.1842853738035655,1,8
Cristian Romero,1.161156962628684,2,7
Nikola Milenković,1.1557926501913833,0,11
Carlos Alcaraz,1.1398606902009902,0,13
Brian Brobbey,1.110454576633252,2,6
John McGinn,1.0887092734102584,1,14
Pape Matar Sarr,1.0831057060505362,2,6
Mikkel Damsgaard,1.0781398282408863,1,11
Justin Devenny,1.0736448857242757,0,7
Joelinton,1.0639183064368885,0,10
Konstantinos Mavropanos,1.0572605853935777,0,7
Xavi Simons,1.0448493127139515,1,14
Jacob Bruun Larsen,1.0423275757079444,0,11
Nordi Mukiele,1.0141726948306702,1,8
Lewis Dunk,1.0128080217594284,0,9
Armando Broja,1.0046960413350747,1,8
Jean-Ricner Bellegarde,1.002336409283457,1,15
Patrick Dorgu,1.0007490607276104,0,7
Ryan Sessegnon,0.9952386134842466,2,7
Martín Zubimendi,0.985033393667312,2,12
Matty Cash,0.9839872427540242,3,15
Saša Lukić,0.9798530427459496,1,7
Ao Tanaka,0.9633317743825336,2,10
Sandro Tonali,0.9535552117856085,0,12
Ladislav Krejčí,0.9510464655627369,1,10
Hwang Hee-chan,0.9431142454961718,1,8
Ryan Christie,0.9408827947906969,1,9
Rayan Cherki,0.9406462218049362,1,12
Moisés Caicedo,0.9305893186753579,3,11
Liam Delap,0.9291278213413025,0,12
Kaoru Mitoma,0.9269238167848282,1,7
William Osula,0.9243038844723297,1,7
Evann Guessand,0.9184894902327458,0,5
Lucas Digne,0.9037650749669592,0,7
Emmanuel Agbadou,0.9024390514762797,0,9
Ryan Gravenberch,0.8967774930955508,3,15
Justin Kluivert,0.8957771546314571,1,10
Pedro Porro,0.8937706782820521,0,9
Hjalmar Ekdal,0.8823529411764706,0,4
Rodrigo Bentancur,0.881124852037639,1,8
Ibrahim Sangaré,0.8750642100811956,2,9
Nicolò Savona,0.8598120407583323,2,4
Sander Berge,0.8408696812058156,0,4
Kenny Tete,0.8385913206658132,1,7
Maxim De Cuyper,0.8235064023589169,2,7
Kristoffer Ajer,0.822365946176444,0,7
Amine Adli,0.8194984440552833,1,8
Timothy Castagne,0.8180286607396582,0,4
Enzo Le Fée,0.8171325267695732,0,12
Martin Ødegaard,0.8002152888916566,0,10
Maxime Estève,0.7985223074737142,0,6
Jadon Sancho,0.7978918703913349,0,4
Maxence Lacroix,0.797891558720312,0,6
Mateus Fernandes,0.7941666336593225,2,11
Ferdi Kadioglu,0.7921173032888764,0,9
